Title,Content,Ingredients,Recipe Yield,Direction
Krakkói krumplival töltött káposzta,Mutatok egy finom lengyel postai receptet.,"3-4 nagyobb burgonya
1/2 fej káposzta, kb 1,5 kg
1/2 csésze fokhagyma
4 evőkanál olaj
1 csokor zöldfűszer, ami a kedvenced
1 megfelelő sárgarépa
1 csipetnyi csípős füstölt paprika (opcionális)
1/2 teáskanál cukor
1 vöröshagyma
2 paradicsom vagy fél doboz kockázott paradicsom
3 -4 evőkanál paradicsomosztály","1) Amikor a sütés véget ér, adjon hozzá 2-3 evőkanál olvasztott vajat.
2) Ne főzze túl a káposztát, mert megpuhulhat.
3) Válassza a megpuhult és ropogós káposztát.","A megtisztított és megmosott krumplit hosszú szeletekre vágjuk, sózzuk és egy kicsit borsozzuk. A vajat jól felmelegítjük egy tűzálló edényben, vagy egy lábasban, amelyben a szarmale-t főzzük, és hozzáadjuk a krumplit, és sütjük, amíg aranybarnára sülnek és majdnem kész. A krumplit egy tányérra tesszük. Az elmaradt olajba tesszük a vékonyan felvágott hagymát, amikor üveges lesz, hozzáadjuk a cukrot, összekeverjük, egy percig hagyjuk, majd hozzáadjuk a megmosott és felvágott sárgarépát. Hozzáadjuk a paradicsompürét és a paradicsomot, és sütjük 5 percig. A megmosott és durván felvágott káposztát a lábasba tesszük, összekeverjük és lefedjük. Amikor a káposzta kissé megpuhult, hozzáadjuk a krumplit, összekeverjük, lefedjük és 15 percig hagyjuk. Végül hozzáadjuk a összetört fokhagymát, a zöldségeket, ízlés szerint sózzuk és borsozzuk, hozzáadjuk a csípős paprikát (opcionális). Összekeverjük, és még 2-3 percig hagyjuk. Készítsük el a tűzhelyet, és 5 perc múlva készen áll a lengyel káposzta! Tálalhatjuk savanyúsággal vagy bármivel, amit szeretne."
Főtt bab,"Finom és böjti ételnek, valamint füstölt hússal.","500 gramm bab
2 hagyma
3 evőkanál paradicsom paszta
3-4 evőkanál olaj
4-5 gerezd fokhagyma
só
bors
füstölt paprika","Nan

Nincs","Először a babot választjuk ki, és néhány órára vagy éjszakára beáztatjuk. Főzzük a babot, és hagyjuk, hogy forrjon. Cseréljük ki a bab vízét, és főzzük újra. Fedjük le a lábas fedelet, és időnként ellenőrizzük, hogy a babok megfőttek-e. Nem lehet pontosan megadni a főzési időt, nagyon függ a babfajtától. Közben a hagymát megtisztítjuk, apróra vágjuk, és megpirítjuk. Adjuk hozzá a paradicsom pasztát, és egy csésze vizet, és hagyjuk, hogy forrjon. Sózzuk, borsozzuk és borsózzuk. Miután a bab megfőtt, összetörjük egy krumplipürével vagy egy turmixgéppel. Ízesítsük sóval és borssal ízlés szerint. Tálaljuk a babot a hagymás szósszal, összetört fokhagymával és apróra vágott zöld petrezselyemmel. Jó étvágyat!"
Krumpli paradicsom mártásban fokhagymával,Ezekben a napokban egy adag sült krumplit paradicsomszósszal és fokhagymával kényeztettük magunkat.,"500 gramm fehér krumpli
2 hagyma (fehér és vörös)
3 gerezd fokhagyma
400 gramm paradicsomos-paprikás tészta
só
bors
szárított kakukkfű
1/4 teáskanál piros paprika
30 ml olaj
1/2 csokor petrezselyemzöld","Egy fokhagymát tartunk, amelyet a főzés végén reszelünk a ételekbe. Ad egy csípős plusz ízt, és megtartja az illatát. Zöld petrezselyem is hozzáadható.","A krumplit megtisztítják a héjától, megmosják és felvágják. Egy keveréket készítenek az olajból, bazsalikomból, majoránnyal, fokhagymaporból és sóból. Az olajat a fűszerekkel öntsék a krumplira, és keverjék össze.

Készítsen egy nagy tepsit sütőpapírral, és tegye bele a krumplit. Tegye be a előmelegített sütőbe, közepes lángon 2 órán keresztül. Forgassa meg minden 30 percben.

Nád saláta: a nád lecsöpögtetik, megmosják és egy tálba teszik, zöldhagymával, petrezselyemmel, sóval, olívaolajjal (kevés) és uborkával (kockákra vágva). Keverjük össze és szolgáljuk fel a krumplival."
Sült burgonya nádhoz salátával,"Nan

Nincs","1,2 kg krumpli
60 ml olívaolaj (minőségi, vagy napraforgóolaj)
2 teáskanál oregánó
2 teáskanál kakukkfű
1 teáskanál őrölt fokhagyma
1 teáskanál só
1 400 g-os konzerv tonhal (240 g lecsöpögtetve)
uborka
petrezselyem
olívaolaj
só
zöldhagyma","Nan

Nincs","Főzzük a tököt és a szalonnát, majd pirítsuk meg a hagymát és a fokhagymát a gyömbérrel együtt. Öntsünk rá vizet, adjunk hozzá krumplit, kókusztejet, bazsalikomot, sót és borsot ízlés szerint, és főzzük, amíg a zöldségek megpuhulnak. Ezután adjuk hozzá a tököt és a főzőtejszínt, a szalonnát pedig törjük fel, úgy, hogy kis kockák legyenek belőle. Turmixoljuk össze, állítsuk be a sűrűséget és az ízt. Egyszerűen finom. Jó étvágyat, kedvesek!"
Sütőtök krémleves (francia konyha),"Egy olyan előétel, ami annyira eredeti, annyira finom.","Tök 600 gr,
két db,
hagyma 3 db, gyömbér 20 gr,
burgonya 450 gr,
kókusztej 300 ml,
oregánó 5 gr,
főzőtejszín 200 ml,
bacon 50 gr.","Főzze meg a tököt és a krumplit, hogy még finomabb legyen.","A krumplikat alaposan meg kell mosni, és sós vízben sóval együtt forrni kell. A villával történő tesztelésig teljesen át kell főzni. Közben elkészítjük a paradicsomos-fokhagymás szószt. A hagymát és a fokhagymát meg kell tisztítani és apróra vágni. Egy mélyebb serpenyőben olajon közepes lángon meg kell pirítani. Össze kell keverni, hogy ne égjen meg és egyenletesen megpuhuljon. Amikor a hagyma megváltoztatja a színét, néhány csepp forró vizet kell hozzáadni, hogy ne égessünk. Ezután hozzáadjuk a paradicsom levet és jól keverjük össze a serpenyőben lévő összetevőkkel. Egy csésze víz hozzáadása után 10-12 percig főzzük a szószt, közben ízlés szerint fűszerezzük. A főtt krumplikat leöntjük, hideg vízzel leöblítjük és megtisztítjuk. Kör alakú szeletekre vágjuk és a paradicsomos szószba adagoljuk. A tálat további 5-6 percig lágy lángon kevergetjük, majd kikapcsoljuk a tűzhelyet és friss petrezselyemmel meghintjük. Melegen tálaljuk savanyúsággal vagy friss zöldséges salátával."
Sült zöldséges rizottó töltött tálban,"Nan

Nincs","1 piros hagyma
1 sárgarépa
1 piros széles paprika
1 narancssárga széles paprika
100 gr fagyasztott zöldbab
100 gr fagyasztott mángold
1 nagy krumpli
1 tök
100 gr előre főtt lencsék
200 gr passzírozott paradicsom
100 gr barna rizs
2 evőkanál olívaolaj
só
őrölt fekete bors
2 babérlevél
Provence-i fűszerek
zöld petrezselyem","Nan

Nincs","A zöldségeket megtisztítjuk és megmossuk. A vöröshagymát finomra vágjuk, a sárgarépát félkörökre, a paprikákat pedig nagyobb kockákra. Először a vöröshagymát és a sárgarépát olajon megpirítjuk, majd a paprikát is hozzáadjuk. Amikor a zöldségek megpuhultak, beleteszünk a zöldbabot és a mángoldot. Óvatosan összekeverjük és meglocsoljuk forró vízzel. A vizet a zöldségek fölé egy ujjnyira kell önteni. Fedelünket rárakjuk. A cukkinit közepesen vastag karikákra vágjuk, a krumplit pedig nagyobb kockákra. Amikor a víz elkezd forrni, beletesszük a krumplit és a cukkinit, és 5 percig főzzük. Hozzáadjuk a lencset, a paradicsomot, a rizst, a sót, a borsot, a fűszereket, a füvet és a szegfűszeget. A tűzhelyen szép lassan megfőzzük, amíg a víz teljesen el nem szívódik. Amikor kiveszük a tűzhelyről, friss petrezselyemmel meghintjük. Főételként vagy grillezett húsok mellé kínáljuk."
"A Panini Maker-ben lévő krumplis aperitív sütemény, vegetáriánus ételként.","Nagy kedvem támadt a krumplis pite elkészítéséhez ezzel a géppel, így nekiálltam. Végül észrevettem, hogy postásak lettek. Nagyon finomak voltak, és ha nem postásokat szeretnétek, különböző feltöltéseket próbálhattok ki sonkával, sajttal, túróval, amit csak szeretnétek. Később előkészítettem az utolsó változatot, mert annyira gyorsan eltűntek a tányérokról.","500 g fehér liszt
1 tk só
5 g szárított élesztő
egy csipet cukor
kb. 250 ml meleg víz
2-3 evőkanál olívaolaj
főtt burgonya héjjal
1-2 fehér hagyma
sütéshez olaj
1-2 tk édes paprika
só, bors ízlés szerint","Ezek a pitek más töltelékekkel is elkészíthetők, akár reszelt almával is, amit befőttesüvegbe tesznek.","Először forró vízben áztasd be a szóját. Egy nagy serpenyőben hevíts fel olajat. A megtisztított, megmosott hagymát vágd julienne-re, és dobd bele az olajba, keverd össze, nehogy megégjen. Amikor a hagyma üveges lesz, dobj bele 50 ml vizet, és főzd lassú tűzön 5 percig. A fagyasztott zöldségeket hagyd kiengedni, majd add hozzá a hagymához. Most tedd bele a megmosott, hámozott, kockára vágott burgonyát. Adj hozzá 100 ml vizet, és főzd lassú tűzön, amíg a sárgarépa és a burgonya át nem fő. Ízesítsd sóval, borssal és kakukkfűvel, vagy bármilyen fűszerrel, amit szeretnél. Amikor az összes zöldség átfőtt, add hozzá a paradicsomszószt, és főzd még 10 percig. A megmosott és apróra vágott petrezselymet szórd rá a zöldségekre, és kapcsold ki a tűzhelyet. Tálald savanyúsággal vagy a család kedvenc salátájával. Jó étvágyat!"
Vegetáriánus szójababos tál,"Úgy gondoltam, hogy kiürítem a fagyasztót, és elkészítek valamit ebédre. Az eredmény finom lett! A fagyasztott zöldségek tartalmaztak: sárgarépát, borsót, paprikát, zöldbabot és kukoricát. Megfűszereztem krumplival is.","500 g fagyasztott zöldségkeverék
2 nagy hagyma
50 ml olaj
2 sárgarépa
100 ml paradicsomszósz
50 g szójabab
só
bors
szárított majoránna
egy ág petrezselyem","Mazsola, burgonya, zöldbab, szója, kukorica, tök,","Kibontják a gombákat a dobozból, megmossák és egy szűrőn hagyják lefolyni. A megtisztított hagymát apróra vágják. A meghámozott sárgarépát kettévágják hosszában, majd kör alakúra vágják. A megtisztított piros paprikát szeletekre vágják. Egy serpenyőbe öntsünk olajat és hevítsük fel. Adjuk hozzá a hagymát, a sárgarépát és pároljuk meg 2 percig, majd tegyük bele a gombákat és pároljuk még 2 percig. Adjuk hozzá a piros paprikát, jól keverjük össze, majd sózzuk, borsozzuk, pirospaprikázzuk, együk a babérlevelet és a szárított zöldségkeveréket. Öntsünk bele meleg vizet, ami ellepi a gombákat. Tegyünk rá egy fedelet és főzzük közepes lángon 25-30 percig. Ezt követően adjuk hozzá a kapia- és olajbogyószószt. Főzzük még kb. 10 percig, amíg a folyadék el nem fogy. Végül keverjük hozzá a paradicsom pasztát és a szárított oreganót. Ízesítsük sóval, ha szükséges. Főzzük még 2 percig. Tálalhatjuk önmagában vagy önthetünk rá petrezselyemzöldet, kapor vagy petrezselyem. Jó étvágyat!"
Gombás olívaolajjal,"Ez az étel nagyszerű a böjti napokra. Nem nehéz elkészíteni, nem tartalmaz sofőrös összetevőket, és nagyon finom. Más napokon is elkészíthetitek, hogy köretként szolgáljatok fel egy sült, sült vagy serpenyős hús mellé. Én konzerv gombát használtam, de a friss is nagyon jó.","3 db 400 gr-es (vagy 1 kg friss) gomba kockák
2 hagyma
1 sárgarépa
1 piros paprika
2 kanál kapia paprika-s szósz
100 gr magvas olívabogyó
2 kanál paradicsom paszta
2 kanál olívaolaj
só
bors
édes paprika
1 teáskanál szárított zöldségkeverék
2 babérlevél
1 teáskanál szárított oregánó","Nan

Nincs","A tésztához: A robotgép táljába tegyük a lisztet, a sót a szélére, a cukrot és a kovászt. Öntsük bele a felét a meleg vízből, és indítsuk el a dagasztót. Öntsünk fokozatosan a maradék meleg vizet. Ha szükségesnek érezzük, adjunk még egy kis vizet. Végül öntsünk bele az olajat, és dagasszuk jól a tésztát, amíg sima és nem ragad a tál falához. Amikor kész, takarjuk le a tésztát, és hagyjuk pihenni kb. egy órán át. A töltelékhez: Főzzük meg a burgonyát héjában sós vízben. Miután megfőtt, csöpögtessük le a vizet, hagyjuk kihűlni, hogy megtisztíthassuk. Reszeljük le a nagy lyukú reszelőn. A hagymát tisztítsuk meg, vágjuk apróra, és pároljuk egy serpenyőben olajjal. Amikor áttetszővé válik, tegyük bele a fűszert, keverjük át gyorsan, hogy ne égjen meg, majd öntsük bele a burgonyát. Jól keverjük össze, ízesítsük sóval és borssal, hagyjuk még egy kicsit, majd vesszük le a tűzről. Hagyjuk kihűlni. Egy lisztezett munkalapra vegyünk egy darab tésztát, és terítsük rá a hagymás burgonyát, hagyva a széleket szabadon. Tegyük bele a tésztát úgy, hogy a burgonya ne tudjon kijönni. Lapítsuk el kicsit, és tegyük bele a felhevített sütőbe. Zárjuk be a sütőt, és hagyjuk, amíg szépen megpirul. Ugyanezt tesszük a többi tésztával is. Melegen vagy hidegen is tálalhatjuk, választhatóan joghurttal, tejjel, kefirel, stb. Jó étvágyat!"
Zöldbabos szójabab leves,"Ha maradt sojám, amikor vegán zöldséges gombapaprikást készítettem, így azt gondoltam, hogy beleteszem a zöldséges levesbe is. Nagyon finom lett, és megcsalta az ízlelőbimbóinkat:))))))","50 g. szójabab
egy hagyma
egy sárgarépa
egy kis zellergyökér
egy petrezselyemgyökér
egy kéznyi zöldbab
2-3 evőkanál mángold
2 evőkanál olaj
150 ml. paradicsomszósz
4 evőkanál cékla leves
2-3 evőkanál petrezselyem
1/2 csomag csípős tészta","Nan

Nincs","3 liter hőmérsékletű edénybe 2 liter vizet forraltam. A megtisztított, megmosott és kockára vágott vöröshagymát, sárgarépát, petrezselyemgyökeret és zellert is a forró vízhez adtam. A szóját forró vízben áztattam. Az zöldborsót és a petrezselymet a fagyasztóból vettem ki, és forraltam. A zöldségek kb. 30 percig főttek. Az áztatott szóját hozzáadtam, és még 5 percig főztem. A paradicsomlé és a sárgadinnye konzerv főzelékhez adtam. Következő 5 percig főztem, majd olajat adtam és 2 percig főztem. Kialsztottam a tűzhelyet, és a petrezselyem levélét hozzáadtam. Ízlés szerint sóztam."
Vegan posta paprikák és töltött káposzta gombával és rizzsel.,"Szarmálék az egyik kedvenc ételkém, de ugyanolyan szeretettel gondolok a töltött paprikákra, piros/zöld töltött paprikákra vagy szarmálékra vadgesztenye levelekbe csomagolva. Most töltött paprikát gondoltam, gombával (őrölt gombával, saját kamrámból) és rizssel, postázható módon. De még maradt egy kis összetevőm, így postai módon szarmálékat is készítettem vadgesztenye levelekbe csomagolva!","8 paprika és szőlőlevél, a fagyasztóból
1/2 kg gomba (champignon/pleurotus)
1 nagyobb hagyma
2 sárgarépa
1 petrezselyemgyökér
1 kis zeller
200-250 ml paradicsomszósz (vagy paradicsom paszta)
5-6 evőkanál napraforgóolaj, a zöldségek sütéséhez
2 pohár rizs
só ízlés szerint
őrölt bors, ízlés szerint
édes paprika, ízlés szerint","1) Ha szeretné, használhat csípős paprikakrémet.
2) Bármilyen gombát használhat, ami kéznél van.
3) Tegyen egy nyers hagymát a töltelékbe, és az újhagymák/szarmák különleges ízt kapnak.
4) Paradicsomlé helyett 2-3 evőkanál friss paradicsom vagy paradicsompüré használható.
5) Ne nyomja túl szorosra a szarmákat, amikor megformázza őket, hogy ne repedjenek meg főzés közben.
6) Amikor a víz lecsökken, ha szükséges, többet adhat hozzá, hogy mindig fedve maradjanak, és jól főjenek.
7) A szarmákba különleges ízt adhat fehérrépa, káposzta, szeder, kapor, vagy kaporlevél is!
8) Használhat friss paprikát is, de először meg kell tisztítani, és sós vízben meg kell főzni, mielőtt megtöltené.
9) Főzéshez használhat szárított vagy zöld kakukkfüvet is, ha szeretné.
10) Tehet tejszínt is az újhagymákhoz/szarmákhoz, de akkor már nem lesznek böjti ételek!","Kivesszük a káposztát és a szőlőlevéllel együtt a fagyasztóból, hogy kiolvadjon. Kiválasztjuk a rizst, alaposan megmossuk, majd egy szűrőbe tesszük. Közben megtisztítjuk a hagymát, a gombát, a sárgarépát, a petrezselymet és a zellert, majd alaposan megmossuk. A hagymát és a gombát apróra vágjuk, míg a sárgarépát, a petrezselymet és a zellert egy kisebb vagy nagyobb reszelőn áttörjük, ízlés szerint. Megjegyzés: Én egy 800 ml-es konzervből használtam gombapürét (gombát), a hűtőből, míg a hagymát és a zöldségeket egy aprítógéppel aprítottam! Olajat öntünk egy serpenyőbe, jól melegítjük, és összefonjuk benne a hagymát és a gyökérzöldségeket (sárgarépát, petrezselymet és zellert). Hozzáadjuk a rizst, a gombát és a paradicsomszószt, és együtt főzzük kb. 10-15 percig, amíg a gombából és a paradicsomszószból kifolyt víz elpárolog. Levesszük a tűzről, és hagyjuk kihűlni. Fűszerezzük ízlés és preferencia szerint. Miután a zöldségkeverék kihűlt, elkezdjük megtölteni a káposztákat és készíteni a szarmale-t! Ne töltsük túl, mert a rizs megduzzad a főzéskor! A káposztákat egy megfelelő edénybe tesszük, úgy, hogy ne dőljenek le. Szükség esetén egy tányért teszünk rájuk, hogy mindig fedve legyenek. A szarmale-t egy edénybe tesszük, és egy kisebb fedőt vagy egy tányért (esetleg fémet) teszünk rá, hogy ne emelkedjenek fel, és mindig fedve maradjanak, hogy jól átfőzzék. Vízzel öntjük fel, amíg ellepi a káposztákat/szarmale-t, és alacsony lángon főzzük, hogy ne szétszóródjon a keverék. Ha lecsökken a víz, adjunk hozzá még, hogy mindig fedve legyenek. Kb. egy óra múlva kapcsoljuk ki a tűzről (ízleljük meg, hogy elkészültek-e!), és hagyjuk lefedve hűlni. Akár még egy óra sem kellhet, mert a zöldségek sokkal gyorsabban főnek, mint a hús. A vegetáriánus káposztákat/szarmale-t gombával és r"
